# step   redshift  time
372   0.593605   0.627508
373   0.586196   0.630439
374   0.578824   0.633383
375   0.571482   0.636342
376   0.564177   0.639314
377   0.557118   0.642212
378   0.550092   0.645123
379   0.543096   0.648048
380   0.536131   0.650986
381   0.529199   0.653937
382   0.522299   0.656901
383   0.515429   0.659879
384   0.508591   0.662870
385   0.501989   0.665784
386   0.495417   0.668710
387   0.488871   0.671650
388   0.482356   0.674602
389   0.475869   0.677567
390   0.469408   0.680546
391   0.462979   0.683537
392   0.456577   0.686541
393   0.450400   0.689465
394   0.444252   0.692400
395   0.438129   0.695348
396   0.432031   0.698309
397   0.425960   0.701282
398   0.419914   0.704268
399   0.413893   0.707267
400   0.407899   0.710278
401   0.402121   0.713205
402   0.396369   0.716143
403   0.390639   0.719094
404   0.384932   0.722057
405   0.379249   0.725032
406   0.373591   0.728019
407   0.367954   0.731019
408   0.362340   0.734031
409   0.356937   0.736954
410   0.351554   0.739889
411   0.346192   0.742836
412   0.340853   0.745794
413   0.335534   0.748764
414   0.330235   0.751747
415   0.324960   0.754740
416   0.319703   0.757746
417   0.314648   0.760660
418   0.309612   0.763585
419   0.304596   0.766521
420   0.299599   0.769468
421   0.294622   0.772426
422   0.289664   0.775396
423   0.284723   0.778378
424   0.279802   0.781371
425   0.275074   0.784268
426   0.270366   0.787175
427   0.265672   0.790094
428   0.260997   0.793023
429   0.256340   0.795963
430   0.251699   0.798914
431   0.247076   0.801876
432   0.242469   0.804849
433   0.238050   0.807722
434   0.233646   0.810605
435   0.229258   0.813499
436   0.224885   0.816403
437   0.220527   0.819318
438   0.216185   0.822243
439   0.211860   0.825178
440   0.207549   0.828124
441   0.203419   0.830966
442   0.199302   0.833818
443   0.195200   0.836680
444   0.191111   0.839552
445   0.187037   0.842434
446   0.182977   0.845325
447   0.178930   0.848227
448   0.174898   0.851138
449   0.171040   0.853942
450   0.167193   0.856756
451   0.163360   0.859579
452   0.159540   0.862411
453   0.155733   0.865252
454   0.151937   0.868103
455   0.148153   0.870964
456   0.144383   0.873833
457   0.140782   0.876592
458   0.137191   0.879360
459   0.133612   0.882136
460   0.130043   0.884922
461   0.126486   0.887716
462   0.122942   0.890518
463   0.119407   0.893330
464   0.115883   0.896151
465   0.112524   0.898857
466   0.109175   0.901571
467   0.105835   0.904294
468   0.102505   0.907025
469   0.099186   0.909764
470   0.095877   0.912511
471   0.092577   0.915267
472   0.089288   0.918031
473   0.086157   0.920677
474   0.083036   0.923330
475   0.079923   0.925992
476   0.076819   0.928661
477   0.073724   0.931338
478   0.070639   0.934022
479   0.067562   0.936714
480   0.064493   0.939414
481   0.061579   0.941993
482   0.058673   0.944579
483   0.055776   0.947171
484   0.052885   0.949771
485   0.050003   0.952378
486   0.047128   0.954993
487   0.044262   0.957614
488   0.041403   0.960243
489   0.038696   0.962746
490   0.035994   0.965257
491   0.033299   0.967774
492   0.030612   0.970297
493   0.027932   0.972827
494   0.025258   0.975364
495   0.022592   0.977907
496   0.019933   0.980457
497   0.017419   0.982879
498   0.014912   0.985307
499   0.012412   0.987740
500   0.009917   0.990180
501   0.007429   0.992626
502   0.004946   0.995078
503   0.002470   0.997536
504   0.000000   1.000000
